Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100p","C_0402_1005Metric",182.790000,-104.340000,180.000000,top
"C3","100n","CAPC1608X90N",184.350000,-96.210000,-90.000000,top
"C4","100n","CAPC1608X90N",182.899200,-94.619200,90.000000,top
"C5","100n","CAPC1608X90N",179.560000,-103.850000,-90.000000,top
"C6","100n","CAPC1608X90N",176.142800,-99.242000,180.000000,top
"C8","10n","CAPC1608X90N",179.900000,-94.730000,90.000000,top
"C9","100n","CAPC1608X90N",181.420000,-94.570000,90.000000,top
"C10","100n","CAPC1608X90N",187.760400,-90.289200,0.000000,top
"C11","4u7","CAPC2012X135N",186.250000,-95.840000,-90.000000,top
"C12","1u","CAPC1005X55N",187.750000,-92.528000,90.000000,top
"C13","12p","CAPC1608X90N",189.630000,-99.510000,-90.000000,top
"C14","12p","CAPC1608X90N",189.900000,-101.810000,0.000000,top
"C15","100n","CAPC1608X90N",177.940000,-103.600000,-90.000000,top
"C16","4u7","CAPC2012X135N",174.030000,-104.610000,0.000000,top
"C17","470n","CAPC1608X90N",171.310000,-98.580000,-90.000000,top
"C18","100n","CAPC1608X90N",189.185426,-95.904535,0.000000,top
"C19","100n","CAPC1608X90N",185.510400,-93.039200,0.000000,top
"C20","100n","CAPC1608X90N",178.390000,-94.710000,90.000000,top
"C21","100n","CAPC1608X90N",156.025000,-95.550000,90.000000,top
"C24","10u","CAPC2012X135N",121.275800,-104.474400,0.000000,top
"C25","22u","CAPC2012X140N",118.320000,-97.110000,90.000000,top
"C27","68p","CAPC1005X55N",184.400000,-101.460000,0.000000,top
"C28","47n","CAPC1005X55N",184.390000,-102.470000,0.000000,top
"C29","1u","CAPC1005X55N",180.370000,-92.040000,90.000000,top
"C30","10u","CAPC2012X135N",153.175000,-96.275000,180.000000,top
"C31","4u7","CAPC2012X135N",175.980000,-89.260000,180.000000,top
"C32","1u","CAPC1005X55N",181.540000,-92.050000,90.000000,top
"C33","1u","CAPC1005X55N",190.215426,-97.324535,0.000000,top
"D1","BLUE","LED_XL-2012SURC_XLG",176.400000,-92.600000,-90.000000,top
"D2","D_TVS","INDC1005X45",182.950000,-108.750000,-90.000000,top
"D3","GREEN","LED_APT2012_SMD-2P0X1P25_KNB",185.700000,-87.000000,180.000000,top
"J1","~","PHOENIX_1935161",108.389800,-103.955600,-90.000000,top
"J7","~","JST_B4B-XH-A",139.800000,-86.900000,0.000000,top
"J8","~","JST_B4B-XH-A",123.550000,-86.875000,0.000000,top
"J9","~","JST_B4B-XH-A",156.237500,-86.800000,0.000000,top
"J10","~","JST_B4B-XH-A",152.000000,-104.850000,180.000000,top
"J11","~","JST_B4B-XH-A",135.475000,-104.925000,180.000000,top
"J12","~","COAX4_901-144-8RFX_AMP",190.930800,-108.034400,90.000000,top
"J13","SWD Header","SAMTEC_FTSH-105-XX-X-DV",166.792600,-94.619200,-90.000000,top
"L1","47n","LQW15CNR20J00B",185.170000,-104.630000,-90.000000,top
"L3","470n","IND_IHLP_1616_BZ_VIS",114.113000,-99.597600,90.000000,top
"L4","15u","INDC2012X145N",173.250000,-98.510000,90.000000,top
"Q1","PMOS","SOT-23-3L_AOS",158.925000,-93.650000,0.000000,top
"R3","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",167.825000,-87.925000,90.000000,top
"R4","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",165.550000,-88.200000,-90.000000,top
"R7","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",186.470000,-98.760000,0.000000,top
"R8","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",176.475000,-96.500000,90.000000,top
"R9","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.000000,-97.000000,180.000000,top
"R11","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",170.783400,-102.518600,-90.000000,top
"R12","240","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",184.825000,-90.000000,90.000000,top
"R13","22","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",172.536000,-91.368000,0.000000,top
"R14","47","RES_R0805_ROM",164.850000,-100.640000,90.000000,top
"R16","22","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",168.780000,-102.560000,-90.000000,top
"R17","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",122.850600,-101.426400,90.000000,top
"R18","511k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",121.490000,-95.250000,0.000000,top
"R19","91k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",123.650000,-98.327600,0.000000,top
"R20","22","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",173.181000,-93.666000,0.000000,top
"R21","22","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",172.810000,-95.680000,0.000000,top
"S1","B3F-1000","SOIC_FS-1000P_OMR",165.210000,-108.350000,180.000000,top
"U1","STM32WL55JCI6","UFBGA73_5X5_STM_1",180.650000,-99.250000,0.000000,top
"U2","TPS63802DLAT","DLA0010A",119.019999,-100.590001,180.000000,top
"U3","BALFHB-WL-01D3","CSPG8_STM",182.114503,-106.254816,-90.000000,top
"Y1","32MHz","NX2016SA_NDK",186.910000,-101.000000,90.000000,top
