"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C18,C4,C15,C20,C6,C3,C19,C9,C10,C5,C21";"CAPC1608X90N";11;"100n";;;
2;"S1";"SOIC_FS-1000P_OMR";1;"B3F-1000";;;
3;"J12";"COAX4_901-144-8RFX_AMP";1;"~";;;
4;"R21,R20,R13,R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"22";;;
5;"D3";"LED_APT2012_SMD-2P0X1P25_KNB";1;"GREEN";;;
6;"J8,J7,J10,J9,J11";"JST_B4B-XH-A";5;"~";;;
7;"C8";"CAPC1608X90N";1;"10n";;;
8;"R3,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"4k7";;;
9;"U2";"DLA0010A";1;"TPS63802DLAT";;;
10;"D1";"LED_XL-2012SURC_XLG";1;"BLUE";;;
11;"R18";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"511k";;;
12;"C11,C31,C16";"CAPC2012X135N";3;"4u7";;;
13;"R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"240";;;
14;"J13";"SAMTEC_FTSH-105-XX-X-DV";1;"SWD Header";;;
15;"C30,C24";"CAPC2012X135N";2;"10u";;;
16;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"220";;;
17;"U3";"CSPG8_STM";1;"BALFHB-WL-01D3";;;
18;"Q1";"SOT-23-3L_AOS";1;"PMOS";;;
19;"R14";"RES_R0805_ROM";1;"47";;;
20;"C25";"CAPC2012X140N";1;"22u";;;
21;"C17";"CAPC1608X90N";1;"470n";;;
22;"C12,C32,C33,C29";"CAPC1005X55N";4;"1u";;;
23;"C1";"C_0402_1005Metric";1;"100p";;;
24;"C28";"CAPC1005X55N";1;"47n";;;
25;"C27";"CAPC1005X55N";1;"68p";;;
26;"R9,R17";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100k";;;
27;"Y1";"NX2016SA_NDK";1;"32MHz";;;
28;"L1";"LQW15CNR20J00B";1;"47n";;;
29;"J1";"PHOENIX_1935161";1;"~";;;
30;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"330";;;
31;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
32;"L3";"IND_IHLP_1616_BZ_VIS";1;"470n";;;
33;"L4";"INDC2012X145N";1;"15u";;;
34;"C14,C13";"CAPC1608X90N";2;"12p";;;
35;"R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"91k";;;
36;"D2";"INDC1005X45";1;"D_TVS";;;
37;"U1";"UFBGA73_5X5_STM_1";1;"STM32WL55JCI6";;;
